instance,algorithm,run,iteration,entropy_H,N_eff,active_trajectories,mean_length
berlin52,MWI-H,1,0,1.2841567900738962,3.611621317975092,10,25024.8
berlin52,MWI-H,1,1,1.2670501030652452,3.5503638921506964,10,24800.6
berlin52,MWI-H,1,2,1.2761049806927671,3.582657991635446,10,24810.1
berlin52,MWI-H,1,3,1.2881568454435903,3.6260969355559247,10,24593.1
berlin52,MWI-H,1,4,1.299598445622142,3.6678235412686644,10,24229.9
berlin52,MWI-H,1,5,1.3070611313798923,3.6952977439355847,10,24083.2
berlin52,MWI-H,1,6,1.3200025050703257,3.743430754806417,10,23869.7
berlin52,MWI-H,1,7,1.299516587081874,3.6675233108759935,10,23544.0
berlin52,MWI-H,1,8,1.2842414121080343,3.61192695364913,10,23544.0
berlin52,MWI-H,1,9,1.2697256034532576,3.5598756107511544,10,23109.0
berlin52,MWI-H,1,10,1.2908730155148425,3.6359594195562375,10,22711.0
berlin52,MWI-H,1,11,1.3176573840293453,3.734662242208167,10,22186.6
berlin52,MWI-H,1,12,1.3146657066323502,3.7235060338017996,10,22207.1
berlin52,MWI-H,1,13,1.320032517818935,3.74354310713859,10,22064.8
berlin52,MWI-H,1,14,1.3265876942961135,3.7681632995474423,10,21793.2
berlin52,MWI-H,1,15,1.3246383076459678,3.760824847379989,10,21697.2
berlin52,MWI-H,1,16,1.323186776822454,3.755369854195334,10,21722.1
berlin52,MWI-H,1,17,1.3285656202348572,3.7756238232284427,10,21531.3
berlin52,MWI-H,1,18,1.3151382611689142,3.725266009279443,10,21275.2
berlin52,MWI-H,1,19,1.3218400201613822,3.7503156889586755,10,21399.6
berlin52,MWI-H,1,20,1.3199279668547013,3.7431517365565306,10,21164.7
berlin52,MWI-H,1,21,1.3443706944442564,3.835771908336402,10,20956.4
berlin52,MWI-H,1,22,1.34353339294761,3.8325615549811505,10,21149.9
berlin52,MWI-H,1,23,1.3556556595017606,3.8793036252617843,10,21025.4
berlin52,MWI-H,1,24,1.3270064423492045,3.769741541012565,10,20845.6
berlin52,MWI-H,1,25,1.3278910705075797,3.7730778360022152,10,20828.2
berlin52,MWI-H,1,26,1.3399549902123755,3.8188716148976365,10,20695.6
berlin52,MWI-H,1,27,1.340458958146445,3.8207966887828824,10,20559.2
berlin52,MWI-H,1,28,1.3156421213341192,3.727143495381819,10,20495.0
berlin52,MWI-H,1,29,1.3089794207252656,3.702393197616516,10,20393.7
berlin52,MWI-H,2,0,1.2051065436666666,3.3371146075537466,10,25396.5
berlin52,MWI-H,2,1,1.2284390017549733,3.4158931691012007,10,25305.3
berlin52,MWI-H,2,2,1.2347697571175125,3.4375869496537312,10,25092.5
berlin52,MWI-H,2,3,1.2195214183153789,3.385567075449242,10,24742.0
berlin52,MWI-H,2,4,1.2077573403544333,3.3459723547588798,10,24553.0
