instance,dimension,algorithm,run,seed,best_known,best_length,gap_percent,final_mean_length,runtime_seconds,budget_mode
berlin52,52,SA,1,20261520,7542,8296,9.997348183505702,8296.0,,standard
berlin52,52,SA,2,20261521,7542,8104,7.451604348979051,8123.0,,standard
berlin52,52,SA,3,20261522,7542,8329,10.43489790506497,8329.0,,standard
berlin52,52,SA,4,20261523,7542,8791,16.56059400689472,8792.0,,standard
berlin52,52,SA,5,20261524,7542,8362,10.87244762662424,8362.0,,standard
berlin52,52,SA,6,20261525,7542,8631,14.43914081145585,8631.0,,standard
berlin52,52,SA,7,20261526,7542,8563,13.53752320339433,8574.0,,standard
berlin52,52,SA,8,20261527,7542,8292,9.94431185361973,8297.0,,standard
berlin52,52,SA,9,20261528,7542,8612,14.18721824449748,8612.0,,standard
berlin52,52,SA,10,20261529,7542,8204,8.777512596128348,8204.0,,standard
berlin52,52,SA,11,20261530,7542,8604,14.08114558472554,8604.0,,standard
berlin52,52,SA,12,20261531,7542,8704,15.40705383187484,8704.0,,standard
berlin52,52,SA,13,20261532,7542,8942,18.56271546009016,8952.0,,standard
berlin52,52,SA,14,20261533,7542,8866,17.5550251922567,8872.0,,standard
berlin52,52,SA,15,20261534,7542,8537,13.19278705913551,8537.0,,standard
berlin52,52,SA,16,20261535,7542,8331,10.46141607000796,8331.0,,standard
berlin52,52,SA,17,20261536,7542,8328,10.42163882259348,8328.0,,standard
berlin52,52,SA,18,20261537,7542,8240,9.254839565102095,8240.0,,standard
berlin52,52,SA,19,20261538,7542,8394,11.29673826571201,8395.0,,standard
berlin52,52,SA,20,20261539,7542,8211,8.870326173428799,8211.0,,standard
berlin52,52,SA,21,20261540,7542,8376,11.05807478122514,8376.0,,standard
berlin52,52,SA,22,20261541,7542,8246,9.334394059931054,8246.0,,standard
berlin52,52,SA,23,20261542,7542,8557,13.45796870856537,8581.0,,standard
berlin52,52,SA,24,20261543,7542,8091,7.279236276849642,8091.0,,standard
berlin52,52,SA,25,20261544,7542,8267,9.612834791832404,8267.0,,standard
berlin52,52,SA,26,20261545,7542,8322,10.34208432776452,8322.0,,standard
berlin52,52,SA,27,20261546,7542,8418,11.61495624502784,8435.0,,standard
berlin52,52,SA,28,20261547,7542,8267,9.612834791832404,8267.0,,standard
berlin52,52,SA,29,20261548,7542,8530,13.09997348183506,8530.0,,standard
berlin52,52,SA,30,20261549,7542,8197,8.684699018827898,8197.0,,standard
berlin52,52,GA,1,20262520,7542,7800,3.420843277645187,8130.925,,standard
berlin52,52,GA,2,20262521,7542,8489,12.55635110050384,8837.9,,standard
berlin52,52,GA,3,20262522,7542,7700,2.09493503049589,7904.825,,standard
berlin52,52,GA,4,20262523,7542,7924,5.064969504110316,8273.475,,standard
berlin52,52,GA,5,20262524,7542,8292,9.94431185361973,8468.55,,standard
berlin52,52,GA,6,20262525,7542,8187,8.552108194112968,8389.225,,standard
