instance,dimension,algorithm,best_known,runs,best,mean,std,median,mean_gap_percent,best_gap_percent,mean_runtime_seconds,budget_mode,rank_within_instance
berlin52,52,ABC/BCO,7542,30,7542,8068.3,255.76634676581477,8056.5,6.978255104746752,0.0,,standard,4.0
berlin52,52,ACO,7542,30,7542,7820.633333333333,196.72183816037153,7829.5,3.6944223459736585,0.0,,standard,2.0
berlin52,52,GA,7542,30,7700,8132.1,268.3351417087634,8114.5,7.824184566428003,2.09493503049589,,standard,5.0
berlin52,52,ILS,7542,30,7542,7848.5,269.02400226207226,7774.5,4.063908777512596,0.0,0.2211607902666249,standard,3.0
berlin52,52,MWI-H,7542,30,7542,7703.9,170.72065305436942,7643.0,2.1466454521347123,0.0,0.3221196254000006,standard,1.0
berlin52,52,SA,7542,30,8091,8420.4,219.686861785996,8346.5,11.646778042959427,7.279236276849642,,standard,6.0
ch150,150,ABC/BCO,6528,30,6982,7320.666666666667,141.08528438949386,7336.0,12.142565359477125,6.954656862745098,,standard,4.0
ch150,150,ACO,6528,30,6673,6775.0,70.17367617266623,6762.0,3.783700980392157,2.221200980392157,,standard,2.0
ch150,150,GA,6528,30,8896,9446.766666666666,311.1363691854187,9458.0,44.711499183006545,36.27450980392157,,standard,5.0
ch150,150,ILS,6528,30,6870,7186.466666666666,216.63010478428572,7128.0,10.086805555555555,5.238970588235294,0.5385543915999885,standard,3.0
ch150,150,MWI-H,6528,30,6558,6674.2,83.71684624272231,6660.5,2.2395833333333335,0.4595588235294117,0.7309472601666281,standard,1.0
ch150,150,SA,6528,30,12449,13708.066666666668,488.77185520115785,13669.5,109.98876633986929,90.7015931372549,,standard,6.0
d493,493,ABC/BCO,35002,30,50684,52111.73333333333,807.4936503789363,52309.5,48.88215911471726,44.80315410547968,,standard,3.0
d493,493,ACO,35002,30,37436,39029.566666666666,573.5620510779823,39057.5,11.50667580900139,6.953888349237187,,standard,2.0
d493,493,GA,35002,30,64767,68439.46666666666,1693.0007379946956,68525.0,95.53016018132298,85.03799782869551,,standard,5.0
d493,493,ILS,35002,30,53757,66289.3,7279.348782686539,66267.5,89.38717787554997,53.58265241986173,0.31157160089998487,standard,4.0
d493,493,MWI-H,35002,30,36521,37968.3,885.0677803773387,37772.5,8.47465859093766,4.339752014170619,2.2940379569666827,standard,1.0
d493,493,SA,35002,30,71474,76635.3,2940.215956764708,76146.0,118.94548882920975,104.1997600137135,,standard,6.0
eil76,76,ABC/BCO,538,30,557,577.6333333333333,11.037501383085285,576.0,7.366790582403965,3.531598513011152,,standard,4.0
eil76,76,ACO,538,30,545,558.9,7.101966701870878,558.5,3.884758364312268,1.301115241635688,,standard,2.0
