instance,dimension,run,seed,beta,gamma,best_known,best_length,gap_percent,final_effective_count,final_edge_diversity,runtime_seconds
berlin52,52,1,20260805,0.0,0.0,7542,7723,2.399893927340228,15.999999999743997,0.0,0.327304453999659
berlin52,52,1,20260805,0.0,1.0,7542,7542,0.0,15.999999999743997,0.0,0.3404151320000892
berlin52,52,1,20260805,0.0,4.0,7542,7542,0.0,15.999999999743997,0.0,0.3294124459998784
berlin52,52,1,20260805,0.0,8.0,7542,7553,0.1458499071864227,15.999999999743997,0.0,0.3101267619999817
berlin52,52,1,20260805,2.0,0.0,7542,7542,0.0,15.999999999743997,0.0,0.32685603099980653
berlin52,52,1,20260805,2.0,1.0,7542,7542,0.0,15.999999999743997,0.0,0.3266868250002517
berlin52,52,1,20260805,2.0,4.0,7542,7750,2.757889154070538,15.999999999743997,0.0,0.300579222000124
berlin52,52,1,20260805,2.0,8.0,7542,7542,0.0,15.999999999743997,0.0,0.33364852200020323
berlin52,52,1,20260805,6.0,0.0,7542,7587,0.5966587112171837,15.017358639269617,0.0048076923076923045,0.3406929800003127
berlin52,52,1,20260805,6.0,1.0,7542,7542,0.0,15.999999999743997,0.0,0.3212823789999675
berlin52,52,1,20260805,6.0,4.0,7542,7571,0.38451339167329623,13.052130405637165,0.018750000000000006,0.3421369020002203
berlin52,52,1,20260805,6.0,8.0,7542,7570,0.37125430920180325,12.384982033457892,0.03205128205128205,0.3511685240000588
berlin52,52,1,20260805,12.0,0.0,7542,7542,0.0,15.999999999743997,0.0,0.31500355100024535
berlin52,52,1,20260805,12.0,1.0,7542,7542,0.0,15.999999999743997,0.0,0.3293508130000191
berlin52,52,1,20260805,12.0,4.0,7542,7542,0.0,15.999999999743997,0.0,0.3343051329998161
berlin52,52,1,20260805,12.0,8.0,7542,7666,1.6441262264651286,5.000878688067123,0.04407051282051282,0.36793201699993006
berlin52,52,2,20260806,0.0,0.0,7542,7542,0.0,15.999999999743997,0.0,0.5002692440002647
berlin52,52,2,20260806,0.0,1.0,7542,7542,0.0,15.999999999743997,0.0048076923076923045,0.6656555699996716
berlin52,52,2,20260806,0.0,4.0,7542,7542,0.0,15.999999999743997,0.0,0.44009946899996066
berlin52,52,2,20260806,0.0,8.0,7542,7803,3.460620525059666,15.999999999743997,0.022435897435897433,0.33238394599993626
berlin52,52,2,20260806,2.0,0.0,7542,7720,2.360116679925749,15.999999999743997,0.0,0.3344042840003567
berlin52,52,2,20260806,2.0,1.0,7542,7542,0.0,15.200926872277876,0.016826923076923073,0.3469084289999955
berlin52,52,2,20260806,2.0,4.0,7542,7899,4.733492442322992,15.999999999743997,0.0,0.31124433800005136
berlin52,52,2,20260806,2.0,8.0,7542,7542,0.0,15.347752692172927,0.023717948717948713,0.3597762630001853
berlin52,52,2,20260806,6.0,0.0,7542,7542,0.0,15.999999999743997,0.0,0.3382014999997409
berlin52,52,2,20260806,6.0,1.0,7542,7542,0.0,13.052130405637165,0.018750000000000006,0.3269708660000106
berlin52,52,2,20260806,6.0,4.0,7542,7614,0.954653937947494,15.999999999743997,0.0,0.3313438000000133
berlin52,52,2,20260806,6.0,8.0,7542,7542,0.0,15.999999999743997,0.0,0.339955825999823
berlin52,52,2,20260806,12.0,0.0,7542,7542,0.0,15.999999999743997,0.0,0.31487453999989157
berlin52,52,2,20260806,12.0,1.0,7542,7791,3.30151153540175,15.999999999743997,0.0,0.32295710700009295
berlin52,52,2,20260806,12.0,4.0,7542,7542,0.0,15.999999999743997,0.0,0.3176604509999379
berlin52,52,2,20260806,12.0,8.0,7542,7740,2.6252983293556085,1.0011987331337953,0.012019230769230766,0.2948971369996798
