algorithm,parameter,value
MWI-H,population_size,16.0
MWI-H,iterations,50.0
MWI-H,beta,6.0
MWI-H,gamma,4.0
MWI-H,local_samples,4.0
MWI-H,candidate_k,12.0
MWI-H,ls_passes,1.0
MWI-H,ls_moves,10.0
MWI-H,init_passes,1.0
MWI-H,init_moves,25.0
MWI-H,elite_count,2.0
MWI-H,restart_patience,20.0
SA,iterations,7500.0
SA,t0,1000.0
SA,alpha,0.9993
GA,population_size,40.0
GA,generations,250.0
GA,mutation_rate,0.25
GA,local_samples,8.0
ACO,ants,30.0
ACO,iterations,180.0
ACO,alpha,1.0
ACO,beta,3.0
ACO,rho,0.25
ACO,q,100.0
ACO,candidate_k,30.0
ACO,local_samples,6.0
ABC/BCO,food_sources,30.0
ABC/BCO,cycles,250.0
ABC/BCO,limit,40.0
ABC/BCO,local_samples,12.0
ILS,iterations,800.0
ILS,candidate_k,12.0
ILS,ls_passes,1.0
ILS,ls_moves,10.0
ILS,init_passes,1.0
ILS,init_moves,25.0
ILS,restart_patience,80.0
